??    1215.6701000 0.416400  6.265E8  1.00 Unidentified ion!! MUST BE HERE
CoII  2012.1610000 0.038220  7.684E7   Mullman (3.27*1552) M91:0.046
CoII  1941.2900000 0.034300  1.717E8   Mullman etal ApJ 500,1064,'98  M91:0.075
CoII  1574.5450000 0.025200  2.156E8   Mullman  M91:0.08012
CoII  1572.6480000 0.012100  8.705E7   Mullman  M91:0.025100
CoII  1552.7500000 0.011690  4.137E7   Mullman  M91:0.01495
CoII  1480.9600000 0.011910  5.588E7   Mullman
CoII  1466.2100000 0.031100  1.500E8   Mullman
NiI   2320.7440000 0.685100  6.942E8   58.69    M 91
NiI   2311.6690000 0.376500  4.700E8   M 91
NiII  1751.9155488 0.027700  1.040E8 58.71  -700.0  Fedchak/Lawler ApJ99(M91 0.0638)f>.01 inc
NiII  1709.6040856 0.032400  1.571E8 58.71  -20.0   F/L Replaces M91 0.06884 
NiII  1741.5529501 0.042700  2.276E8 58.71  -1400.0 F/L Replaces M91 0.1035
NiII  1703.4119017 0.006000  4.221E7   M 91 
NiII  1502.1480000 0.006000  3.932E7   M 91
NiII  1467.7560000 0.006300  5.269E7   M 91 
NiII  1467.2590000 0.009900  5.156E7   M 91 
NiII  1454.8420000 0.032300  1.877E8   Z98 M91 0.0595 
NiII  1393.3240000 0.022220  7.636E7   M 91 
NiII  1370.1320000 0.076900  6.975E8   Zsargo 98ApJ498,256 M91 0.130 
NiII  1317.2170000 0.146000  4.205E8   M91 (0.064? M91 rel -> Z98&F/L?)
CuII  1358.7730000 0.119600  5.650E8   M91
ZnII  2062.6602777 0.246000  3.184E8 65.38   1584.0 f:ApJS 95 TLS, M91 was 0.252900
ZnII  2026.1369642 0.501000  3.359E8 65.38   2479.0 f:ApJS 95 TLS, M91 was 0.515000
GeII  1602.4863000 0.134500  9.906E8   72.61   M 91
GaII  1414.4020000 1.800000  6.000E8   69.723  VBT
H2I   1108.1280000 0.001730  2.000E8   D84
H2I   1092.1950000 0.005960  2.000E8   MD76
H2I   1077.1380000 0.011900  2.000E8   MD76
H2I   1062.8830000 0.018200  2.000E8   MD76
H2I   1049.3660000 0.023500  2.000E8   MD76
H2I   1036.5460000 0.027100  2.000E8   MD76
H2I   1024.3640000 0.028800  2.000E8   MD76
H2I   1012.8220000 0.029700  2.000E8   MD76
H2I   1001.8260000 0.026600  2.000E8   MD76
H2I    991.3940000 0.025900  2.000E8   MD76
H2I    981.4410000 0.020400  2.000E8   MD76
H2I    971.9840000 0.019700  2.000E8   MD76
H2I    962.9780000 0.012900  2.000E8   MD76
H2I    954.4190000 0.013800  2.000E8   MD76
H2I    946.1700000 0.001100  2.000E8   MD76
H2I    938.4680000 0.009190  2.000E8   MD76
H2I    931.0630000 0.010200  2.000E8   MD76
H2I    923.9860000 0.005900  2.000E8   MD76
H2I    917.2450000 0.005870  2.000E8   MD76
H2I    914.8200000 0.003660  2.000E8   MD76
H2I    904.7090000 0.002480  2.000E8   MD76
H2I   1008.5530000 0.044800  2.000E8   MD76
H2I    985.6320000 0.069600  2.000E8   MD76
H2I    964.9880000 0.068800  2.000E8   MD76
H2I    946.4250000 0.062100  2.000E8   MD76
H2I    929.5340000 0.033900  2.000E8   MD76
H2I    914.3980000 0.024000  2.000E8   MD76
H2I    900.8040000 0.016200  2.000E8   MD76
H A   6564.6230000 1.000000  1.00000    For emission
H B   4862.6880000 1.000000  1.00000    For emission
H G   4341.6900000 1.000000  1.00000    For emission
N IIe 6585.4200000 1.000000  1.00000
N IIe 6549.9100000 0.333333  1.00000
O III 5008.2360000 1.000000  1.00000          
O III 4960.2940000 0.333333  1.00000          
S IIe 6718.0000000 1.000000  1.00000
S IIe 6731.0000000 1.000000  1.00000
C IVe 1549.1000000 1.000000  1.00000
MgIIe 2799.0000000 1.000000  1.00000
end   0000.0000000 0.000000  0.00000   0.000 Terminator
